causeCode,numRunups,tsIntensity,oceanicTsunami,eqMagnitude,warningStatusId,
1,3,,TRUE,7.3,,
1,0,,TRUE,,,
1,0,,TRUE,,,
1,1,3,TRUE,7,,
1,1,0.5,TRUE,6,,
1,3,0,TRUE,6.5,,
1,1,2,TRUE,,,
1,1,0,TRUE,,,
1,127,,TRUE,8.5,,
0,1,,TRUE,,,
1,2,,TRUE,6,,
0,1,,TRUE,,,
1,0,,TRUE,,,
1,5,,TRUE,,,
1,1,,TRUE,,,
1,1,-0.5,TRUE,7.5,,
1,2,4,TRUE,6.6,,
1,1,,TRUE,,,
1,22,2,TRUE,8.5,,
9,0,,TRUE,,,
1,0,,TRUE,,,
1,4,,TRUE,,,
0,0,,TRUE,,,
0,1,,TRUE,,,
1,1,1,TRUE,6.6,,
1,4,2,TRUE,7.4,,
1,1,1,TRUE,7.8,,
1,1,1,TRUE,7.1,,
1,3,2.5,TRUE,,,
0,1,,TRUE,,,
0,0,,TRUE,,,
0,1,2,TRUE,,,
9,1,,TRUE,,,
1,3,1,TRUE,6.9,,
1,1,,TRUE,6.8,,
1,1,,TRUE,7.5,,
1,2,,TRUE,,,
0,2,,TRUE,,,
1,1,2,TRUE,,,
0,0,,TRUE,,,
1,1,1,TRUE,7.5,,
1,1,1,TRUE,6.5,,
1,5,1,TRUE,7.4,,
1,1,0.5,TRUE,7,,
3,4,,TRUE,7.5,,
1,1,0,TRUE,,,
1,34,3,TRUE,7.4,,
4,1,0.5,TRUE,,,
1,2,,TRUE,,,
6,0,,TRUE,,,
9,1,,TRUE,,,
1,1,0,TRUE,,,
0,3,1,TRUE,,,
1,2,,TRUE,,,
1,0,,TRUE,,,
0,1,0,TRUE,,,
1,0,,TRUE,,,
1,6,3,TRUE,7.5,,
6,2,1,TRUE,,,
9,1,,TRUE,,,
6,1,1,TRUE,,,
6,1,1,TRUE,,,
2,1,,TRUE,,,
9,0,,TRUE,,,
1,2,2.5,TRUE,7,,
3,3,1,TRUE,7.3,,
1,1,,TRUE,,,
2,0,,TRUE,,,
1,6,2.5,TRUE,8.6,,
1,3,1,TRUE,7.3,,
1,1,,TRUE,,,
1,0,,TRUE,,,
1,4,4,TRUE,8,,
1,3,4,TRUE,8,,
0,1,,TRUE,,,
9,1,,TRUE,,,
1,1,,TRUE,6.8,,
0,4,2.5,TRUE,,,
1,1,1,TRUE,6.5,,
1,1,3,TRUE,7,,
9,1,1,TRUE,,,
0,1,,TRUE,,,
0,1,,TRUE,,,
5,43,3,TRUE,6.4,,
1,6,1,TRUE,6.9,,
1,0,2,TRUE,8.4,,
0,1,0,TRUE,,,
1,5,2,TRUE,6.9,,
1,8,2,TRUE,8.3,,
6,2,,TRUE,,,
1,2,3,TRUE,8,,
6,0,,TRUE,,,
2,1,,TRUE,,,
1,1,,TRUE,,,
1,0,1,TRUE,,,
1,0,1,TRUE,,,
9,0,,TRUE,,,
1,2,1,TRUE,6.4,,
1,2,,TRUE,,,
1,1,1.5,TRUE,,,
1,1,,TRUE,6.6,,
1,0,,TRUE,,,
1,1,3,TRUE,6.7,,
1,2,1,TRUE,7.3,,
0,0,,TRUE,,,
1,1,0.5,TRUE,7.5,,
1,1,0.5,TRUE,6.5,,
0,1,,TRUE,,,
0,0,,TRUE,,,
1,2,,TRUE,,,
1,1,0,TRUE,6.6,,
1,1,2,TRUE,,,
0,1,,TRUE,,,
1,1,,TRUE,7.7,,
1,1,,TRUE,,,
3,5,1.5,TRUE,7.5,,
0,1,1,TRUE,,,
1,1,0,TRUE,,,
6,6,1.5,TRUE,,,
3,4,1.5,TRUE,7.3,,
1,1,0,TRUE,,,
8,1,1,TRUE,,,
